"Apelido","Clube","Pontos","Preço","Variação","Média","Jogos","Assistência","Cartão Amarelo","Desarme","Faltas Cometidas","Finalização Defendida","Finalização pra Fora","Falta Sofrida","Finalização na Trave","Gol","Impedimento","Passe Incompleto","Cartão Vermelho","Pênalti Perdido"
"Gabriel","Flamengo",8.7,13.69,0.37,6.26,23,0,2,8,8,20,28,31,1,13,18,105,1,0
"Bruno Henrique","Flamengo",3.9,13.1,-0.37,5.14,28,6,9,38,54,17,23,65,4,8,12,160,0,1
"Rafael Navarro","Botafogo",-0.1,1.89,-0.81,4.53,4,0,1,6,6,4,2,7,0,1,0,8,0,0
"Warley","Botafogo",12.8,4.55,2.09,2.02,12,1,1,7,12,4,2,15,0,1,0,17,0,0
"Léo Natel","Corinthians",-0.3,3.97,-1.55,1.96,24,1,3,21,35,9,12,14,0,4,9,103,0,0
"Gilberto","Bahia",3,8.85,-1.78,4,26,2,6,16,31,25,24,41,1,6,6,80,0,1
"Rossi","Bahia",8.6,6.77,-0.44,2.25,28,2,6,24,17,9,9,35,1,4,6,180,0,0
"Fred","Fluminense",-2.2,3.07,-0.37,1.98,21,2,6,5,30,8,7,36,0,4,6,85,0,0
"Lucca","Fluminense",9.6,6.36,1.76,2.97,15,0,1,21,19,4,5,19,0,3,3,58,0,0
"Luiz Henrique","Fluminense",6.5,4.12,1.05,2.81,25,3,1,41,20,3,11,15,0,2,5,67,0,0
"Talles Magno","Vasco",2.7,10.1,0.03,3.41,30,2,5,46,23,7,16,72,2,3,6,114,1,0
"Cano","Vasco",-0.4,12.58,0.53,4.58,31,1,0,14,28,20,19,22,1,13,15,79,0,1
"Breno Lopes","Palmeiras",5.3,4.29,-0.15,2,11,0,0,6,6,1,3,5,3,1,2,31,0,0
"Luciano","São Paulo",-1.5,9.34,-1.67,6.14,26,1,4,28,32,8,18,44,1,15,6,113,0,1
"Pablo","São Paulo",-2,6.41,-1.04,1.64,23,2,4,16,31,9,22,15,0,1,9,39,0,0
"Ângelo","Santos",-0.1,0.79,-0.16,0.15,8,0,0,2,2,0,0,2,0,0,0,8,0,0
"Bruno Marques","Santos",-2.3,3.78,-0.86,2.93,12,0,1,11,18,5,4,10,0,3,3,15,0,0
"Arthur Gomes","Santos",0,3.33,0,1.59,20,0,1,17,22,11,3,14,1,2,1,83,1,0
"Ytalo","Bragantino",-0.5,6.45,-1.12,3.72,29,5,0,23,25,17,21,20,1,4,7,59,0,0
"Artur","Bragantino",4.8,12.45,0.43,3.66,31,5,2,38,21,20,37,62,2,1,6,271,0,1
"Claudinho","Bragantino",5.1,15.87,0.48,6.81,33,6,4,51,29,25,35,53,0,15,5,321,0,1
"Savarino","Atlético-MG",5.7,7.17,0.81,3.38,28,5,2,16,20,10,29,25,4,4,11,191,0,0
"Eduardo Sasha","Atlético-MG",0.8,8.03,-1.4,3.44,29,3,2,14,19,14,11,24,1,7,2,78,0,1
"Keno","Atlético-MG",2.9,13.51,-0.35,6.38,28,5,4,46,34,28,31,50,4,10,23,272,0,1
"Churín","Grêmio",0,8.52,-1.36,3.47,12,1,0,10,17,0,5,17,1,3,2,33,0,0
"Ferreira","Grêmio",-2.4,4.16,-0.19,2.21,19,0,2,13,11,8,12,16,0,2,1,42,0,0
"Yuri Alberto","Internacional",3.9,4.92,-0.04,4.84,22,1,3,11,46,14,18,27,1,10,4,60,0,0
"Caio","Internacional",4.6,4.85,0.1,3.45,13,0,3,9,15,4,9,39,2,2,0,42,0,0
"Fernandão","Goiás",3.2,5.93,-1.1,3.86,20,0,4,17,20,7,18,32,0,7,7,90,0,1
"Vinícius","Goiás",4.8,5.98,-0.39,4.21,25,4,3,38,36,13,12,48,0,4,4,75,0,0
"Rafael Moura","Goiás",2.5,6.3,-1.05,2.45,26,0,8,12,49,9,26,27,0,9,20,151,0,0
"Dalberto","Sport",3.6,4.53,0.66,2.53,13,0,1,8,25,7,8,9,2,3,8,59,0,0
"Marquinhos","Sport",3.7,7.02,0.17,2.94,30,2,9,45,39,3,10,97,0,3,0,136,0,0
"Renato Kayzer","Athletico-PR",-0.7,7.13,-0.26,4.07,30,1,4,18,49,17,20,42,2,11,20,96,0,0
"Guilherme Biro","Coritiba",-1.5,0.98,-0.43,0.15,7,0,2,13,14,0,2,2,0,0,0,35,0,0
"Ricardo Oliveira","Coritiba",-0.2,5.65,-0.19,1.23,16,1,1,4,12,4,4,9,1,1,4,29,0,0
"Osman","Coritiba",0.5,2.58,0.26,-0.03,4,0,1,4,3,0,1,0,0,0,0,14,0,0
"Felipe Vizeu","Ceará",9,6.92,1.77,1.78,10,0,0,0,7,2,2,5,0,2,0,12,0,0
"Léo Chú","Ceará",2.9,3.81,0.96,3.6,20,6,4,34,19,5,9,19,0,2,9,84,0,0
"Wellington Paulista","Fortaleza",-0.1,7.39,-0.17,2.66,31,1,2,7,34,6,18,33,1,8,6,68,0,1
"Romarinho","Fortaleza",1.5,8.35,0.18,3.04,29,0,3,23,18,10,16,63,1,4,2,101,0,0
"David","Fortaleza",1.9,5.37,0.38,3.06,30,3,4,32,51,8,19,34,0,7,15,119,0,0
"Chico","Atlético-GO",0,4.8,0,2.57,30,4,3,31,36,13,16,52,2,1,1,178,0,0
"Danilo Gomes","Atlético-GO",0.4,1.26,0,1.55,12,0,1,12,3,0,3,9,0,1,4,28,0,0
