"ID_Atleta","Nome_Atleta","Apelido","Posição","Clube","Escalações"
"83257","Gabriel Barbosa Almeida","Gabriel","Atacante","Flamengo",1112188
"71162","Vinícius Goes Barbosa de Souza","Vina","Meia","Ceará",1088333
"87863","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","Meia","Flamengo",833522
"92630","Claudio Luiz Rodrigues Parisi Leonel","Claudinho","Atacante","Bragantino",806411
"104276","Lucas Felipe Calegari","Calegari","Lateral","Fluminense",668632
"83433","Patrick Bezerra do Nascimento","Patrick","Meia","Internacional",602135
"38913","Anderson Luiz de Carvalho","Nenê","Meia","Fluminense",559905
"73465","Luccas Claro dos Santos","Luccas Claro","Zagueiro","Fluminense",523884
"90285","Bruno Henrique Pinto","Bruno Henrique","Atacante","Flamengo",514237
"79113","Víctor Leandro Cuesta","Víctor Cuesta","Zagueiro","Internacional",491150
"97341","Rogério Ceni","Rogério Ceni","Técnico","Flamengo",393145
"51772","Everton Augusto de Barros Ribeiro","Everton Ribeiro","Meia","Flamengo",388303
"100652","Yuri Alberto Monteiro da Silva","Yuri Alberto","Atacante","Internacional",372630
"80287","Luciano da Rocha Neves","Luciano","Atacante","São Paulo",372327
"38750","Filipe Luís Kasmirski","Filipe Luís","Lateral","Flamengo",344598
"73800","Rodrigo Caio Coquette Russo","Rodrigo Caio","Zagueiro","Flamengo",342561
"79631","Germán Ezequiel Cano","Cano","Atacante","Vasco",306004
"87225","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","Zagueiro","Athlético-PR",302243
"101574","Hugo de Souza Nogueira","Hugo Souza","Goleiro","Flamengo",301593
"87228","Guilherme Antonio Arana Lopes","Guilherme Arana","Lateral","Atlético-MG",281790
