"ID_Atleta","Nome_Atleta","Apelido","Posição","Status","Clube","Pontos","Preço","Variação","Média","Jogos"
"72290","Jailson Marcelino dos Santos","Jailson","Goleiro","Dúvida","Palmeiras",0,1.49,0,-1.16,5
"38431","Diego Cavalieri","Diego Cavalieri","Goleiro","Nulo","Botafogo",0,3.9,0,0.35,18
"94044","John Victor Maciel Furtado","John Victor","Goleiro","Nulo","Santos",0,0.79,0,0.58,8
"91712","Matheus Alves da Silva Cardoso","Matheus Alves","Goleiro","Nulo","Goiás",0,1,0,0,0
"99430","Diego Terra Loureiro","Diego Loureiro","Goleiro","Provável","Botafogo",11.4,2.72,1.46,1.8,5
"100830","Brenno Oliveira Fraga Costa","Brenno","Goleiro","Dúvida","Grêmio",0,1,0,0,0
"89492","Saulo Ferreira Silva Nascimento","Saulo","Goleiro","Nulo","Botafogo",0,1.04,0,-2.8,1
"38133","Júlio César de Souza Santos","Júlio César","Goleiro","Nulo","Bragantino",0,4.47,0,0.75,6
"91260","Lucas Estella Perri","Lucas Perri","Goleiro","Nulo","São Paulo",0,1.1,0,-2,0
"49673","Júlio César Jacobi","Júlio César","Goleiro","Dúvida","Grêmio",0,4,0,0,0
"93834","Keiller da Silva Nunes","Keiller","Goleiro","Nulo","Internacional",0,2,0,0,0
"101173","Arthur Henrique Bittencourt","Arthur","Goleiro","Provável","Coritiba",3.9,1.7,-0.42,5.65,2
"110775","Marco Antônio Amorim de Oliveira Montes","Marcão","Goleiro","Nulo","Coritiba",0,1,0,0,0
"38140","Fernando Buttenbender Prass","Fernando Prass","Goleiro","Dúvida","Ceará",0,5.77,0,2.65,22
"78851","Richard de Oliveira da Costa","Richard","Goleiro","Dúvida","Ceará",3.7,4.19,1.63,2.31,14
"98333","Gabriel Batista de Souza","Gabriel Batista","Goleiro","Nulo","Flamengo",0,1.56,0,-0.9,3
"109618","Gabriel Bernard Conceição da Silva","Gabriel Bernard","Goleiro","Nulo","Atlético-GO",0,1,0,0,0
"103183","Andrew da Silva Ventura","Andrew","Goleiro","Nulo","Botafogo",0,1,0,0,0
"109566","Túlio Galindo Bandeira de Melo","Túlio","Goleiro","Nulo","Sport",0,1,0,0,0
"37788","Marcelo Boeck","Marcelo Boeck","Goleiro","Nulo","Fortaleza",0,4,0,0,0
"69041","Muriel Gustavo Becker","Muriel","Goleiro","Nulo","Fluminense",0,4.62,0,2.36,19
"82730","Marcelo Rangel da Rosa","Marcelo Rangel","Goleiro","Contundido","Goiás",10.7,2.48,1.22,0.88,6
"85083","Vinicius Silvestre da Costa","Vinicius Silvestre","Goleiro","Dúvida","Palmeiras",0,3,0,0,0
"108424","Leonardo Siqueira de Paiva Bezerra","Leonardo","Goleiro","Nulo","Atlético-GO",0,2,0,0,0
"110708","Pedro Felipe De Faria Rangel","Pedro Rangel","Goleiro","Nulo","Fluminense",0,1,0,0,0
"68928","Rafael Pires Monteiro","Rafael","Goleiro","Nulo","Atlético-MG",0,7.01,0,2,9
"52950","Victor Leandro Bagy","Victor","Goleiro","Nulo","Atlético-MG",0,5.4,0,-9.2,1
"74061","Roberto Junior Fernández Torres","Gatito Fernández","Goleiro","Contundido","Botafogo",0,14.9,0,5.6,8
